cpu power (w)      , gpu power (w), energy use (kwh/year), grid carbon intensity (kg co2/kwh), operational emissions (kg co2), manufacturing emissions (kg co2), disposal emissions (kg co2), operational emissions, predicted_emissions (kg co2)
 7.58              ,          5.22,               373.395,                              0.641,                          0.027,                              100,                          20,    239.346195        ,                    359.2434
 7.640000000000001 ,          5.7 ,               389.291,                              0.641,                          0.028,                              100,                          20,    249.535531        ,                    369.33228
 6.08              ,          5.59,               340.68 ,                              0.641,                          0.025,                              100,                          20,    218.37588         ,                    338.35388
 7.19              ,          5.78,               378.766,                              0.641,                          0.028,                              100,                          20,    242.78900600000003,                    362.8236
 8.120000000000001 ,          5.56,               399.662,                              0.641,                          0.029,                              100,                          20,    256.183342        ,                    376.30106
 6.41              ,          5.73,               354.802,                              0.641,                          0.026,                              100,                          20,    227.428082        ,                    347.69427
 7.790000000000001 ,          5.28,               382.118,                              0.641,                          0.028,                              100,                          20,    244.937638        ,                    365.10226
 5.99              ,          5.6 ,               338.969,                              0.641,                          0.025,                              100,                          20,    217.279129        ,                    336.85654
 6.44              ,          5.59,               351.962,                              0.641,                          0.026,                              100,                          20,    225.607642        ,                    345.5849
 7.1               ,          5.77,               376.674,                              0.641,                          0.028,                              100,                          20,    241.448034        ,                    361.71964
 7.19              ,          5.76,               379.15 ,                              0.641,                          0.028,                              100,                          20,    243.03515         ,                    363.10678
 8.42              ,          5.78,               415.896,                              0.641,                          0.03 ,                              100,                          20,    266.589336        ,                    386.62442
 6.529999999999999 ,          5.63,               356.274,                              0.641,                          0.026,                              100,                          20,    228.371634        ,                    348.34842
 6.95              ,          5.61,               368.124,                              0.641,                          0.027,                              100,                          20,    235.967484        ,                    355.98743
 7.1               ,          5.07,               356.821,                              0.641,                          0.026,                              100,                          20,    228.72226100000003,                    348.6563
 7.19              ,          5.59,               374.837,                              0.641,                          0.027,                              100,                          20,    240.270517        ,                    360.26443
 6.44              ,          5.73,               357.072,                              0.641,                          0.026,                              100,                          20,    228.883152        ,                    348.89282
 7.82              ,          5.79,               399.464,                              0.641,                          0.029,                              100,                          20,    256.056424        ,                    375.96576
 8.45              ,          5.55,               411.056,                              0.641,                          0.03 ,                              100,                          20,    263.486896        ,                    383.52686
 6.83              ,          5.77,               370.082,                              0.641,                          0.027,                              100,                          20,    237.222562        ,                    357.11557
 6.529999999999999 ,          6.0 ,               368.157,                              0.641,                          0.027,                              100,                          20,    235.988637        ,                    356.00443
 6.83              ,          5.9 ,               374.166,                              0.641,                          0.027,                              100,                          20,    239.840406        ,                    359.8924
 9.44              ,          5.81,               448.391,                              0.641,                          0.033,                              100,                          20,    287.418631        ,                    407.36862
 8.120000000000001 ,          5.31,               395.017,                              0.641,                          0.029,                              100,                          20,    253.205897        ,                    373.04556
 9.5               ,          5.55,               442.822,                              0.641,                          0.032,                              100,                          20,    283.848902        ,                    403.75632
 8.39              ,          5.63,               412.661,                              0.641,                          0.03 ,                              100,                          20,    264.515701        ,                    384.385
 7.459999999999999 ,          5.24,               373.942,                              0.641,                          0.027,                              100,                          20,    239.696822        ,                    359.75974
 8.24              ,          5.66,               409.419,                              0.641,                          0.03 ,                              100,                          20,    262.437579        ,                    382.46857
 9.41              ,          5.68,               444.627,                              0.641,                          0.033,                              100,                          20,    285.00590700000004,                    405.1484
 8.42              ,          5.45,               408.823,                              0.641,                          0.03 ,                              100,                          20,    262.055543        ,                    382.19147
 7.19              ,          5.52,               374.765,                              0.641,                          0.027,                              100,                          20,    240.224365        ,                    360.237
 8.51              ,          5.73,               420.023,                              0.641,                          0.031,                              100,                          20,    269.23474300000004,                    389.20917
 7.34              ,          5.48,               378.271,                              0.641,                          0.028,                              100,                          20,    242.47171100000003,                    362.45627
 7.31              ,          5.67,               383.125,                              0.641,                          0.028,                              100,                          20,    245.583125        ,                    365.53256
 7.76              ,          5.77,               399.501,                              0.641,                          0.029,                              100,                          20,    256.080141        ,                    375.75787
 6.08              ,          5.6 ,               344.997,                              0.641,                          0.025,                              100,                          20,    221.143077        ,                    341.1106
 7.459999999999999 ,          5.44,               381.167,                              0.641,                          0.028,                              100,                          20,    244.328047        ,                    364.3863
 6.8               ,          5.45,               362.087,                              0.641,                          0.026,                              100,                          20,    232.097767        ,                    351.87488
 7.37              ,          5.62,               384.092,                              0.641,                          0.028,                              100,                          20,    246.202972        ,                    366.16333
 6.41              ,          5.62,               355.83 ,                              0.641,                          0.026,                              100,                          20,    228.08703         ,                    348.1367
